公司,站代號,刷卡自助,GoStation,洗車類別,無鉛92,無鉛95,無鉛98,超柴
台灣中油,CC6212E47,0,0,,1,1,1,1
台灣中油,CC6212E48,0,0,,1,1,1,1
台灣中油,CC6212E53,1,0,,1,1,1,1
台灣中油,CC6212E54,0,0,,1,1,1,1
台灣中油,CC6212E55,0,0,,1,1,1,1
台灣中油,CC6212E56,1,0,,1,1,1,1
台灣中油,CC6212E58,0,0,,1,1,1,1
台灣中油,CC6212E61,0,0,,1,1,1,1
台灣中油,CC6212E63,0,0,,1,1,1,1
台灣中油,CC6212E64,0,0,,1,1,0,1
台灣中油,CC6212E65,0,0,,1,1,1,1
台灣中油,CC6212E66,0,0,,1,1,1,1
台灣中油,CC6212E67,0,0,,1,1,1,1
台灣中油,CC6212E68,0,0,,1,1,1,1
台灣中油,CC6212E70,1,0,,1,1,1,1
台灣中油,CC6212E71,0,0,,1,1,0,1
台灣中油,CC6212E72,0,0,,1,1,1,1
台灣中油,CC6212E74,0,0,,1,1,1,1
台灣中油,CC6212E75,0,0,,1,1,1,1
台灣中油,CC6212E78,0,0,,1,1,1,1
台灣中油,CC6212E79,0,0,,1,1,1,1
台灣中油,CC6212E80,0,0,,1,1,1,1
台灣中油,CC6212E81,0,0,,1,1,1,1
台灣中油,CC6212E83,0,0,,1,1,1,1
台灣中油,CC6212E84,0,0,,1,1,1,1
台灣中油,CC6212E85,1,0,,1,1,1,1
台灣中油,CC6212E86,0,0,,1,1,1,1
台灣中油,CC6212E88,1,0,,1,1,1,1
台灣中油,CC6212E90,0,0,,1,1,1,1
台灣中油,CC6212E91,0,0,,1,1,1,1
台灣中油,CC6212E92,0,0,,1,1,1,1
台灣中油,CC6212E93,0,0,,1,1,1,0
台灣中油,CC6212E94,0,0,,1,1,1,1
台灣中油,CC6212E95,0,0,,1,1,1,1
台灣中油,CC6212E96,1,0,,1,1,1,1
台灣中油,CC6212E97,0,0,,1,1,1,1
台灣中油,CC6212E98,0,0,,1,1,1,1
台灣中油,CC6212E99,1,0,,1,1,1,1
台灣中油,CC6212F01,0,0,,1,1,1,0
台灣中油,CC6212F02,1,0,,1,1,1,0
台灣中油,CC6212F04,1,0,,1,1,1,1
台灣中油,CC6212F05,0,0,,1,1,1,1
